,day,balance_daily,name,balance_cumu
159,2023-07-06,19.67113656,Wormhole,100.5336718300402
160,2023-07-05,0.0,Polygon Bridges,5366.639474780003
161,2023-07-05,0.0,Wormhole,80.8625352700402
162,2023-07-05,0.0,xDAI Bridges,1381.1402482023666
163,2023-07-05,0.0,Aztec,490.9393370347426
164,2023-07-05,154.19194389384995,Optimism Bridges,43619.87227534692
165,2023-07-05,0.0,zkSynk Bridge,2147.405896878582
166,2023-07-05,97.30171694772358,Arbitrum Bridges,68439.5072242549
167,2023-07-05,0.0,Loopring,1406.3894561112045
168,2023-07-04,413.3424680792348,Arbitrum Bridges,68342.20550730718
169,2023-07-04,0.0,Loopring,1406.3894561112045
170,2023-07-04,0.0,Aztec,490.9393370347426
171,2023-07-04,0.4422141013658475,Polygon Bridges,5366.639474780003
172,2023-07-04,-7.03625499,Wormhole,80.8625352700402
173,2023-07-04,0.0,zkSynk Bridge,2147.405896878582
174,2023-07-04,0.0,xDAI Bridges,1381.1402482023666
175,2023-07-04,0.0,Optimism Bridges,43465.68033145307
176,2023-07-03,-2.27891549,Wormhole,87.8987902600402
177,2023-07-03,214.49650980968397,Optimism Bridges,43465.68033145307
178,2023-07-03,-43.58037138834835,Polygon Bridges,5366.197260678638
179,2023-07-03,0.0,xDAI Bridges,1381.1402482023666
180,2023-07-03,-0.06580289323,Loopring,1406.3894561112045
181,2023-07-03,366.5974340311301,Arbitrum Bridges,67928.86303922794
182,2023-07-03,0.0,zkSynk Bridge,2147.405896878582
183,2023-07-03,-2.838754,Aztec,490.9393370347426
